transaction_id,store_id,customer_id,product_id,quantity,unit_price,transaction_date
T000901,S005,C083,P006,1,280000,2026-08-02 13:09:09
T000902,S005,C005,P002,2,520000,2026-08-02 10:51:13
T000903,S001,C086,P027,1,18000,2026-08-02 08:29:48
T000904,S001,C053,P002,1,520000,2026-08-02 13:17:47
T000905,S002,C009,P005,1,120000,2026-08-02 18:33:09
T000906,S002,C002,P023,1,22000,2026-08-02 15:10:39
T000907,S005,C059,P007,3,165000,2026-08-02 13:27:02
T000908,S001,C080,P012,4,12000,2026-08-02 09:13:03
T000909,S005,C062,P021,1,10000,2026-08-02 10:46:36
T000910,S004,C003,P022,1,18000,2026-08-02 11:14:33
T000911,S005,C071,P001,2,450000,2026-08-02 16:24:46
T000912,S001,C003,P014,2,7000,2026-08-02 17:38:37
T000913,S003,C069,P017,4,85000,2026-08-02 17:55:05
T000914,S001,C065,P010,1,8000,2026-08-02 18:49:48
T000915,S004,C023,P027,3,18000,2026-08-02 18:48:21
T000916,S001,C068,P004,2,25000,2026-08-02 18:28:58
T000917,S002,C025,P005,3,120000,2026-08-02 08:47:24
T000918,S005,C033,P020,2,180000,2026-08-02 09:30:56
T000919,S003,C035,P027,4,18000,2026-08-02 11:20:56
T000920,S004,C011,P026,1,30000,2026-08-02 14:04:54
T000921,S004,C059,P012,2,12000,2026-08-02 09:04:00
T000922,S002,C090,P019,4,55000,2026-08-02 17:18:13
T000923,S003,C088,P008,3,390000,2026-08-02 14:47:03
T000924,S001,C084,P027,2,18000,2026-08-02 13:57:57
T000925,S001,C012,P028,3,28000,2026-08-02 09:49:06
T000926,S004,C049,P013,1,35000,2026-08-02 10:47:08
T000927,S004,C008,P018,2,25000,2026-08-02 09:45:48
T000928,S001,C090,P021,1,10000,2026-08-02 17:22:16
T000929,S001,C064,P006,2,280000,2026-08-02 14:25:35
T000930,S004,C083,P028,3,28000,2026-08-02 16:05:11
T000931,S003,C073,P026,3,30000,2026-08-02 11:15:22
T000932,S001,C068,P028,4,28000,2026-08-02 12:05:01
T000933,S001,C030,P030,4,50000,2026-08-02 12:27:12
T000934,S005,C061,P007,1,165000,2026-08-02 16:21:36
T000935,S001,C010,P009,1,45000,2026-08-02 16:29:45
T000936,S003,C070,P022,1,18000,2026-08-02 10:16:29
T000937,S001,C023,P019,3,55000,2026-08-02 18:21:24
T000938,S003,C003,P030,2,50000,2026-08-02 09:19:37
T000939,S005,C019,P007,1,165000,2026-08-02 17:51:26
T000940,S004,C010,P025,3,210000,2026-08-02 09:06:15
T000941,S002,C073,P010,2,8000,2026-08-02 10:54:35
T000942,S005,C050,P008,1,390000,2026-08-02 17:18:40
T000943,S005,C043,P022,3,18000,2026-08-02 09:58:27
