transaction_id,store_id,customer_id,product_id,quantity,unit_price,transaction_date
T003601,S005,C098,P007,2,165000,2026-08-05 14:28:45
T003602,S001,C004,P012,2,12000,2026-08-05 08:40:47
T003603,S002,C037,P007,3,165000,2026-08-05 17:02:36
T003604,S002,C034,P006,1,280000,2026-08-05 10:22:59
T003605,S002,C044,P024,2,40000,2026-08-05 16:51:00
T003606,S005,C032,P028,3,28000,2026-08-05 13:52:41
T003607,S002,C003,P006,3,280000,2026-08-05 11:02:32
T003608,S003,C013,P006,3,280000,2026-08-05 08:19:56
T003609,S002,C049,P001,1,450000,2026-08-05 16:58:27
T003610,S001,C044,P021,3,10000,2026-08-05 09:56:27
T003611,S002,C040,P030,2,50000,2026-08-05 08:34:11
T003612,S002,C048,P015,3,30000,2026-08-05 16:18:52
T003613,S003,C085,P026,2,30000,2026-08-05 11:51:01
T003614,S005,C080,P006,1,280000,2026-08-05 12:16:57
T003615,S004,C092,P029,2,32000,2026-08-05 10:43:03
T003616,S001,C019,P003,2,15000,2026-08-05 17:27:03
T003617,S002,C025,P029,4,32000,2026-08-05 11:16:14
T003618,S005,C049,P007,4,165000,2026-08-05 10:18:43
T003619,S003,C041,P999,4,22000,2026-08-05 11:24:06
T003620,S004,C082,P020,3,180000,2026-08-05 10:14:04
T003621,S001,C098,P008,4,390000,2026-08-05 11:29:39
T003622,S005,C025,P020,4,180000,2026-08-05 08:54:44
T003623,S005,C038,P028,3,28000,2026-08-05 09:44:37
T003624,S002,C042,P026,4,30000,2026-08-05 12:35:15
T003625,S001,C081,P008,3,390000,2026-08-05 17:40:26
T003626,S003,C017,P026,3,30000,2026-08-05 08:37:48
T003627,S005,C075,P028,-2,28000,2026-08-05 10:20:21
T003628,S004,C027,P029,4,32000,2026-08-05 17:59:30
T003629,S001,C061,P024,2,40000,2026-08-05 17:47:24
T003630,S005,C009,P026,1,30000,2026-08-05 15:28:26
T003631,S005,C050,P006,2,280000,2026-08-05 10:38:42
T003632,S005,C048,P025,2,210000,2026-08-05 12:37:04
T003633,S005,C060,P016,2,95000,2026-08-05 10:19:24
T003634,S003,C092,P006,2,280000,2026-08-05 09:24:52
T003635,S005,C089,P012,4,12000,2026-08-05 12:10:47
T003636,S004,C061,P016,1,95000,2026-08-05 14:20:02
T003637,S005,C052,P009,4,45000,2026-08-05 11:57:33
T003638,S005,C084,P021,4,10000,2026-08-05 14:43:08
T003639,S002,C029,P002,3,520000,2026-08-05 11:15:31
T003640,S002,C058,P029,1,32000,2026-08-05 11:48:15
T003641,S002,C051,P028,4,28000,2026-08-05 16:41:50
T003642,S003,C055,P007,4,165000,2026-08-05 17:39:41
T003643,S004,C074,P029,2,32000,2026-08-05 11:32:32
T003644,S003,C033,P999,4,280000,2026-08-05 14:17:12
T003645,S001,C018,P018,2,25000,2026-08-05 11:03:35
T003646,S001,C038,P025,4,210000,2026-08-05 08:35:12
T003647,S005,C046,P015,1,30000,2026-08-05 16:06:59
T003648,S005,C006,P008,1,390000,2026-08-05 09:52:51
T003649,S005,C080,P015,4,30000,2026-08-05 12:40:58
T003650,S004,C058,P011,3,75000,2026-08-05 13:21:27
T003651,S004,C053,P015,1,30000,2026-08-05 10:01:45
T003652,S004,C041,P012,4,12000,2026-08-05 09:02:24
T003653,S004,C004,P009,3,45000,2026-08-05 11:49:41
T003654,S004,C030,P006,2,280000,2026-08-05 18:28:30
T003655,S001,C046,P009,3,45000,2026-08-05 14:45:59
T003656,S001,C038,P029,2,32000,2026-08-05 12:11:43
T003657,S005,C066,P027,3,18000,2026-08-05 08:25:40
T003658,S001,C036,P018,1,25000,2026-08-05 14:36:10
T003659,S002,C013,P030,3,50000,2026-08-05 09:00:53
T003660,S001,C047,P004,4,25000,2026-08-05 13:58:04
T003661,S005,C026,P002,1,520000,2026-08-05 16:16:17
T003662,S002,C087,P011,4,75000,2026-08-05 12:39:33
T003663,S003,C039,P011,2,75000,2026-08-05 11:17:36
T003664,S003,C025,P024,3,40000,2026-08-05 08:31:16
T003665,S005,C018,P023,2,22000,2026-08-05 08:16:21
T003666,S005,C034,P028,1,28000,2026-08-05 12:43:49
T003667,S003,C037,P001,3,450000,2026-08-05 17:43:00
T003668,S003,C052,P027,1,18000,2026-08-05 10:41:04
T003669,S005,C097,P013,2,35000,2026-08-05 14:18:52
T003670,S001,C061,P021,4,10000,2026-08-05 15:31:38
T003671,S005,C098,P021,3,10000,2026-08-05 08:40:08
T003672,S004,C030,P005,1,120000,2026-08-05 09:41:02
T003673,S002,C061,P008,3,390000,2026-08-05 11:38:38
T003674,S005,C076,P008,1,390000,2026-08-05 15:22:15
T003675,S005,C097,P026,4,30000,2026-08-05 12:49:45
T003676,S004,C044,P015,4,30000,2026-08-05 16:04:34
T003677,S001,C041,P026,3,30000,2026-08-05 17:32:36
T003678,S002,C055,P028,1,28000,2026-08-05 16:20:31
T003679,S004,C027,P025,4,210000,2026-08-05 18:54:52
T003680,S999,C072,P015,3,30000,2026-08-05 16:17:52
T003681,S003,C018,P001,4,450000,2026-08-05 17:22:26
T003682,S002,C040,P019,4,55000,2026-08-05 17:09:21
T003683,S001,C064,P024,2,40000,2026-08-05 16:01:58
T003684,S003,C044,P026,2,30000,2026-08-05 16:49:11
T003685,S004,C055,P008,4,390000,2026-08-05 18:16:53
T003686,S004,C098,P022,3,18000,2026-08-05 13:13:38
T003687,S005,C039,P025,1,210000,2026-08-05 15:01:16
T003688,S005,C003,P011,3,75000,2026-08-05 13:39:51
T003689,S001,C018,P019,3,55000,2026-08-05 17:21:41
T003690,S003,C073,P005,-3,120000,2026-08-05 12:44:41
T003691,S005,C078,P021,3,10000,2026-08-05 17:01:01
