transaction_id,store_id,customer_id,product_id,quantity,unit_price,transaction_date
T001801,S004,C046,P024,2,40000.0,2026-08-03 14:42:49
T001802,S002,C098,P002,1,520000.0,2026-08-03 14:51:32
T001803,S002,C009,P016,4,95000.0,2026-08-03 09:29:09
T001804,S003,C030,P009,2,45000.0,2026-08-03 15:37:44
T001805,S002,C067,P002,3,520000.0,2026-08-03 15:25:20
T001806,S003,C050,P030,3,50000.0,2026-08-03 15:30:30
T001807,S004,C006,P016,3,95000.0,2026-08-03 08:48:53
T001808,S003,C014,P002,4,520000.0,2026-08-03 12:54:54
T001809,S005,C082,P023,1,22000.0,2026-08-03 12:29:57
T001810,S003,C095,P027,2,18000.0,2026-08-03 08:57:13
T001811,S005,C070,P009,4,45000.0,2026-08-03 10:26:45
T001812,S002,C049,P019,2,55000.0,2026-08-03 12:51:02
T001813,S004,C047,P021,4,10000.0,2026-08-03 16:10:19
T001814,S001,C067,P019,4,55000.0,2026-08-03 10:36:27
T001815,S004,C029,P009,4,45000.0,2026-08-03 17:07:38
T001816,S004,C046,P017,2,85000.0,2026-08-03 14:00:13
T001817,S003,C063,P027,1,18000.0,2026-08-03 16:21:52
T001818,S004,C078,P026,4,30000.0,2026-08-03 13:11:53
T001819,S005,C018,P001,3,450000.0,2026-08-03 13:29:28
T001820,S002,,P015,1,30000.0,2026-08-03 14:49:00
T001821,S005,C083,P003,3,15000.0,2026-08-03 18:12:27
T001822,S002,C020,P009,4,,2026-08-03 13:24:35
T001823,S002,C047,P006,4,280000.0,2026-08-03 13:48:54
T001824,S001,C085,P020,3,180000.0,2026-08-03 14:37:19
T001825,S004,C043,P008,4,390000.0,2026-08-03 16:06:45
T001826,S001,C062,P024,1,40000.0,2026-08-03 08:47:25
T001827,S004,C062,P022,2,18000.0,2026-08-03 13:40:21
T001828,S005,C021,P007,3,165000.0,2026-08-03 13:17:51
T001829,S004,C003,P021,3,10000.0,2026-08-03 18:08:18
T001830,S001,C017,P008,2,390000.0,2026-08-03 13:25:42
T001831,S005,C021,P019,3,55000.0,2026-08-03 13:09:05
T001832,S005,C006,P005,4,120000.0,2026-08-03 18:35:03
T001833,S005,C019,P029,3,32000.0,2026-08-03 12:57:22
T001834,S002,C034,P002,3,520000.0,2026-08-03 09:59:23
T001835,S002,C067,P030,2,50000.0,2026-08-03 10:23:09
T001836,S005,C073,P013,1,35000.0,2026-08-03 09:02:49
T001837,S001,C093,P021,3,10000.0,2026-08-03 08:00:22
