transaction_id,store_id,customer_id,product_id,quantity,unit_price,transaction_date
T002701,S005,C075,P015,3,30000,2026-08-04 13:41:08
T002702,S004,C026,P011,3,75000,2026-08-04 18:08:55
T002703,S003,C030,P024,4,40000,2026-08-04 10:46:07
T002704,S001,C042,P025,2,210000,2026-08-04 15:20:36
T002705,S001,C031,P008,2,390000,2026-08-04 12:42:44
T002706,S004,C026,P024,1,40000,2026-08-04 10:47:52
T002707,S002,C010,P013,3,35000,2026-08-04 17:16:20
T002708,S005,C063,P016,4,95000,2026-08-04 11:23:10
T002709,S004,C019,P002,1,520000,2026-08-04 09:45:23
T002710,S005,C059,P007,2,165000,2026-08-04 13:41:43
T002711,S004,C048,P006,4,280000,2026-08-04 17:53:13
T002712,S004,C093,P005,1,120000,2026-08-04 15:46:59
T002713,S003,C035,P007,2,165000,2026-08-04 10:10:32
T002714,S003,C017,P007,3,165000,2026-08-04 08:22:22
T002715,S005,C008,P002,2,520000,2026-08-04 14:04:28
T002716,S002,C015,P009,2,45000,2026-08-04 14:31:38
T002717,S004,C059,P028,2,28000,2026-08-04 16:47:36
T002718,S002,C098,P014,1,7000,2026-08-04 08:37:41
T002719,S002,C038,P011,3,75000,2026-08-04 10:49:33
T002720,S002,C082,P020,3,180000,2026-08-04 09:01:34
T002721,S002,C074,P020,3,180000,2026-08-04 18:53:17
T002722,S002,C012,P018,1,25000,2026-08-04 11:19:12
T002723,S005,C063,P014,4,7000,2026-08-04 13:52:09
T002724,S002,C076,P028,1,28000,2026-08-04 10:20:39
T002725,S004,C036,P016,4,95000,2026-08-04 17:28:11
T002726,S004,C095,P001,2,450000,2026-08-04 13:12:43
T002727,S002,C032,P028,4,28000,2026-08-04 09:56:46
T002728,S004,C075,P011,1,75000,2026-08-04 16:31:07
T002729,S005,C020,P008,1,390000,2026-08-04 16:28:44
T002730,S005,C001,P030,2,50000,2026-08-04 18:53:25
T002731,S001,C006,P014,1,7000,2026-08-04 18:24:19
T002732,S005,C005,P016,1,95000,2026-08-04 08:23:09
T002733,S005,C051,P014,3,7000,2026-08-04 13:51:28
T002734,S001,C058,P016,4,95000,2026-08-04 09:11:30
T002735,S002,C011,P016,1,95000,2026-08-04 14:14:23
T002736,S001,C089,P018,4,25000,2026-08-04 12:27:48
T002737,S004,C028,P024,4,40000,2026-08-04 17:58:05
T002738,S003,C038,P005,4,120000,2026-08-04 13:35:43
T002739,S001,C003,P008,3,390000,2026-08-04 13:46:56
T002740,S003,C021,P016,3,95000,2026-08-04 14:14:16
T002741,S004,C074,P023,3,22000,2026-08-04 12:48:17
T002742,S005,C004,P024,3,40000,2026-08-04 16:15:43
T002743,S004,C099,P015,4,30000,2026-08-04 14:44:43
T002744,S004,C024,P005,1,120000,2026-08-04 14:27:44
T002745,S003,C081,P026,2,30000,2026-08-04 08:17:41
T002746,S001,C081,P015,1,30000,2026-08-04 14:30:15
T002747,S004,C089,P003,4,15000,2026-08-04 13:33:40
T002748,S005,C005,P011,2,75000,2026-08-04 08:58:30
T002749,S004,C097,P010,3,8000,2026-08-04 08:36:36
T002750,S005,C070,P009,4,45000,2026-08-04 16:58:49
T002751,S002,C088,P019,4,55000,2026-08-04 11:07:37
T002752,S005,C043,P003,1,15000,2026-08-04 11:17:41
T002753,S001,C066,P024,4,40000,2026-08-04 10:24:25
T002754,S003,C007,P030,4,50000,2026-08-04 09:41:45
T002755,S004,C047,P004,1,25000,2026-08-04 10:24:46
T002756,S005,C006,P015,4,30000,2026-08-04 14:37:30
T002757,S003,C023,P012,2,12000,2026-08-04 15:12:59
T002758,S005,C091,P021,3,10000,2026-08-04 14:06:06
T002759,S005,C091,P003,3,15000,2026-08-04 09:06:59
T002760,S002,C018,P025,2,210000,2026-08-04 13:48:16
T002761,S002,C070,P011,1,75000,2026-08-04 13:14:03
T002762,S004,C095,P004,1,25000,2026-08-04 16:39:34
T002763,S005,C090,P025,1,210000,2026-08-04 09:01:04
T002764,S002,C042,P007,3,165000,2026-08-04 10:25:33
T002765,S003,C065,P012,2,12000,2026-08-04 11:27:24
T002766,S004,C036,P022,1,18000,2026-08-04 16:22:46
